code,description,category
X644399,"ΑΠΟΦΛΟΙΩΣΗ ΠΝΕΥΜΟΝΑ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ), ΠΛΗΡΗΣ",Β
X644409,"ΑΠΟΦΛΟΙΩΣΗ ΠΝΕΥΜΟΝΑ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ), ΜΕΡΙΚΗ",Β
X644579,ΕΚΤΟΜΗ ΤΟΙΧΩΜΑΤΙΚΟΥ ΠΕΤΑΛΟΥ ΤΟΥ ΥΠΕΖΩΚΟΤΟΣ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ),Β
X644599,ΑΠΟΦΛΟΙΩΣΗ ΠΝΕΥΜΟΝΑ ΚΑΙ ΕΚΤΟΜΗ ΤΟΙΧΩΜΑΤΙΚΟΥ ΠΕΤΑΛΟΥ ΥΠΕΖΩΚΟΤΟΣ,Β
X644759,"ΒΙΟΨΙΑ, ΥΠΕΖΩΚΩΣ , ΔΙΑΔΕΡΜΙΚΗ ΒΕΛΟΝΗ",Β
X644763,"ΒΙΟΨΙΑ ΥΠΕΖΩΚΟΤΟΣ, ΘΩΡΑΚΟΤΟΜΗ ΜΙΚΡΗ",Β
X644769,"ΒΙΟΨΙΑ ΠΝΕΥΜΟΝΑ Η ΒΛΑΒΗΣ ΜΕΣΟΘΩΡΑΚΙΟΥ, ΔΙΑΔΕΡΜΙΚΗ ΒΕΛΟΝΗ",Β
X644799,ΠΑΡΑΚΕΝΤΗΣΗ ΤΟΥ ΠΝΕΥΜΟΝΑ ΓΙΑ ΑΝΑΡΡΟΦΗΣΗ,Β
X644801,"ΠΑΡΑΚΕΝΤΗΣΗ ΤΟΥ ΘΩΡΑΚΑ, ΠΑΡΑΚΕΝΤΗΣΗ ΥΠΕΖΩΚΟΤΙΚΗΣ ΚΟΙΛΟΤΗΤΑΣ ΓΙΑ ΑΝΑΡΡΟΦΗΣΗ, ΑΡΧΙΚΗ Ή ΕΠΑΚΟΛΟΥΘΗ",Β
X644803,"ΠΑΡΑΚΕΝΤΗΣΗ ΤΟΥ ΘΩΡΑΚΑ ΜΕ ΕΙΣΑΓΩΓΗ ΘΩΡΑΚΙΚΟΥ ΣΩΛΗΝΑ, ΠΕΡΙΛΑΜΒΑΝΕΙ ΠΛΕΥΡΟΔΕΣΙΑ (ΠΧ. ΓΙΑ ΠΝΕΥΜΟΘΩΡΑΚΑ Η ΥΠΟΤΡΟΠΙΑΖΟΥΣΑ ΠΛΕΥΡΙΤΙΚΗ ΣΥΛΛΟΓΗ), ΟΤΑΝ ΔΙΕΝΕΡΓΕΙΤΑΙ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)",Β
X644839,"ΕΚΤΟΜΗ ΠΝΕΥΜΟΝΙΚΟΥ ΠΑΡΕΓΧΥΜΑΤΟΣ, ΠΝΕΥΜΟΝΕΚΤΟΜΗ ΔΕΞΙΑ - ΑΡΙΣΤΕΡΑ",Β
X644843,"ΕΚΤΟΜΗ ΠΝΕΥΜΟΝΙΚΟΥ ΠΑΡΕΓΧΥΜΑΤΟΣ, ΠΝΕΥΜΟΝΕΚΤΟΜΗ, ΜΕ ΑΦΑΙΡΕΣΗ ΤΜΗΜΑΤΟΣ ΤΗΣ ΤΡΑΧΕΙΑΣ ΠΟΥ ΣΥΝΟΔΕΥΕΤΑΙ ΑΠΟ ΒΡΟΓΧΟ-ΤΡΑΧΕΙΑΚΗ ΑΝΑΣΤΟΜΩΣΗ (ΠΝΕΥΜΟΝΕΚΤΟΜΗ ΔΙΚΗΝ ΜΑΝΙΚΙΟΥ)",Β
X644849,"ΕΚΤΟΜΗ ΠΝΕΥΜΟΝΙΚΟΥ ΠΑΡΕΓΧΥΜΑΤΟΣ, ΕΞΩΥΠΕΖΟΚΩΤΙΚΗ ΠΝΕΥΜΟΝΕΚΤΟΜΗ",Β
X644919,"ΕΚΤΟΜΗ ΠΝΕΥΜΟΝΙΚΟΥ ΠΑΡΕΓΧΥΜΑΤΟΣ, ΕΝΑΣ ΛΟΒΟΣ (ΛΟΒΕΚΤΟΜΗ)",Β
X644923,"ΕΚΤΟΜΗ ΠΝΕΥΜΟΝΙΚΟΥ ΠΑΡΕΓΧΥΜΑΤΟΣ, ΔΥΟ ΛΟΒΟΙ (ΔΙΛΟΒΕΚΤΟΜΗ)",Β
X644927,"ΕΚΤΟΜΗ ΤΟΥ ΠΝΕΥΜΟΝΙΚΟΥ ΠΑΡΕΓΧΥΜΑΤΟΣ, ΕΝΑ ΤΜΗΜΑ (ΤΥΠΙΚΗ ΤΜΗΜΑΤΕΚΤΟΜΗ)",Β
X644931,ΕΚΤΟΜΗ ΠΝΕΥΜΟΝΙΚΟΥ ΠΑΡΕΓΧΥΜΑΤΟΣ ΜΕ KYKΛIKH ΑΦΑΙΡΕΣΗ ΤΜΗΜΑΤΟΣ ΒΡΟΓΧΟΥ ΠΟΥ ΣΥΝΟΔΕΥΕΤΑΙ ΑΠΟ ΒΡΟΓΧΟ-ΒΡΟΓΧΙΚΗ ΑΝΑΣΤΟΜΩΣΗ (ΛΟΒΕΚΤΟΜΗ ΔΙΚΗΝ ΜΑΝΙΚΙΟΥ),Β
X644935,"ΕΚΤΟΜΗ ΠΝΕΥΜΟΝΙΚΟΥ ΠΑΡΕΓΧΥΜΑΤΟΣ, ΕΚΤΟΜΗ ΕΝΑΠΟΜΕΙΝΑΝΤΑ ΠΝΕΥΜΟΝΑ ΑΠΟ ΠΡΟΗΓΟΥΜΕΝΗ ΕΠΕΜΒΑΣΗ (ΟΛΟΚΛΗΡΩΣΗ ΠΝΕΥΜΟΝΕΚΤΟΜΗΣ Ή ΣΥΜΠΛΗΡΩΜΑΤΙΚΗ ΠΝΕΥΜΟΝΕΚΤΟΜΗ)",Β
X644941,"ΕΚΤΟΜΗ ΠΝΕΥΜΟΝΙΚΟΥ ΠΑΡΕΓΧΥΜΑΤΟΣ, ΑΝΟΙΧΤΗ ΕΚΤΟΜΗ ΤΟΥ ΕΜΦΥΣΗΜΑΤΙΚΟΥ ΠΝΕΥΜΟΝΙΚΟΥ ΠΑΡΕΓΧΥΜΑΤΟΣ (ΜΕ ΚΑΙ ΧΩΡΙΣ ΦΥΣΑΛΙΔΕΣ) ΜΕ ΠΟΛΛΑΠΛΕΣ ΣΦΗΝΟΕΙΔΕΙΣ ΕΚΤΟΜΕΣ, ΓΙΑ ΜΕΙΩΣΗ ΤΟΥ ΟΓΚΟΥ ΤΟΥ ΠΝΕΥΜΟΝΑ, ΔΙΑΣΤΕΡΝΙΚΗ Ή ΔΙΑΘΩΡΑΚΙΚΗ ΠΡΟΣΠΕΛΑΣΗ, ΜΕ Ή ΧΩΡΙΣ ΟΠΟΙΑΔΗΠΟΤΕ ΥΠΕΖΩΚ.",Β
X644959,"ΕΚΤΟΜΗ ΠΝΕΥΜΟΝΙΚΟΥ ΠΑΡΕΓΧΥΜΑΤΟΣ, ΣΦΗΝΟΕΙΔΗΣ ΕΚΤΟΜΗ, ΜΟΝΗΡΗΣ Ή ΠΟΛΛΑΠΛΗ",Β
X644961,ΕΚΤΟΜΗ ΚΑΙ ΑΠΟΚΑΤΑΣΤΑΣΗ ΤΜΗΜΑΤΟΣ ΤΟΥ ΒΡΟΓΧΟΥ (ΒΡΟΓΧΟΠΛΑΣΤΙΚΗ) ΟΤΑΝ ΔΙΕΝΕΡΓΕΙΤΑΙ ΤΗΝ ΩΡΑ ΤΗΣ ΛΟΒΕΚΤΟΜΗΣ Ή ΤΗΣ ΤΜΗΜΑΤΕΚΤΟΜΗΣ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ),Β
X644965,"ΕΚΤΟΜΗ ΟΓΚΟΥ ΤΗΣ ΚΟΡΥΦΗΣ ΤΟΥ ΠΝΕΥΜΟΝΑ (ΟΓΚΟΣ PANCOAST), ΠΟΥ ΣΥΜΠΕΡΙΛΑΜΒΑΝΕΙ ΕΚΤΟΜΗ ΘΩΡΑΚΙΚΟΥ ΤΟΙΧΩΜΑΤΟΣ, ΕΚΤΟΜΗ(ΕΣ) ΠΛΕΥΡΟΥ(ΩΝ), ΝΕΥΡΟΑΓΓΕΙΑΚΗ ΔΙΑΤΟΜΗ, ΟΤΑΝ ΔΙΕΝΕΡΓΕΙΤΑΙ. ΧΩΡΙΣ ΑΠΟΚΑΤΑΣΤΑΣΗ(ΕΙΣ) ΘΩΡΑΚΙΚΟΥ ΤΟΙΧΩΜΑΤΟΣ",Β
X644967,"ΕΚΤΟΜΗ ΟΓΚΟΥ ΤΗΣ ΚΟΡΥΦΗΣ ΤΟΥ ΠΝΕΥΜΟΝΑ (ΟΓΚΟΣ PANCOAST), ΠΟΥ ΣΥΜΠΕΡΙΛΑΜΒΑΝΕΙ ΕΚΤΟΜΗ ΘΩΡΑΚΙΚΟΥ ΤΟΙΧΩΜΑΤΟΣ, ΕΚΤΟΜΗ(ΕΣ) ΠΛΕΥΡΟΥ(ΩΝ), ΝΕΥΡΟΑΓΓΕΙΑΚΗ ΔΙΑΤΟΜΗ, ΟΤΑΝ ΔΙΕΝΕΡΓΕΙΤΑΙ. ΜΕ ΑΠΟΚΑΤΑΣΤΑΣΗ ΘΩΡΑΚΙΚΟΥ ΤΟΙΧΩΜΑΤΟΣ",Β
X645039,ΕΞΩΥΠΕΖΩΚΟΤΙΚΗ ΕΚΠΥΡΗΝΥΣΗ ΕΜΠΥΗΜΑΤΟΣ (ΕΚΤΟΜΗ ΕΜΠΥΗΜΑΤΙΚΟΥ ΣΑΚΚΟΥ),Β
X645059,ΕΙΣΑΓΩΓΗ ΜΟΝΙΜΟΥ ΥΠΕΖΩΚΟΤΙΚΟΥ ΚΑΘΕΤΗΡΑ ΠΑΡΟΧΕΤΕΥΣΗΣ ΜΕ ΜΑΝΙΚΙ (CUFF),Β
X645061,"ΘΩΡΑΚΟΣΤΟΜΙΑ ΜΕ ΣΩΛΗΝΑ, ΠΟΥ ΠΕΡΙΛΑΜΒΑΝΕΙ ΠΛΕΥΡΟΔΕΣΙΑ ΟΤΑΝ ΔΙΕΝΕΡΓΕΙΤΑΙ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)",Β
X645079,ΧΗΜΙΚΗ ΠΛΕΥΡΟΔΕΣΗ (ΠΧ. ΓΙΑ ΥΠΟΤΡΟΠΙΑΖΟΝΤΑ Ή ΕΜΜΕΝΟΝΤΑ ΠΝΕΥΜΟΘΩΡΑΚΑ),Β
X645161,"ΘΩΡΑΚΟΣΚΟΠΗΣΗ, ΔΙΑΓΝΩΣΤΙΚΗ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ). ΠΝΕΥΜΟΝΕΣ ΚΑΙ ΥΠΕΖΩΚΟΤΙΚΗ ΚΟΙΛΟΤΗΤΑ, ΧΩΡΙΣ ΒΙΟΨΙΑ",Β
X645163,"ΘΩΡΑΚΟΣΚΟΠΗΣΗ, ΔΙΑΓΝΩΣΤΙΚΗ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ). ΠΝΕΥΜΟΝΕΣ ΚΑΙ ΥΠΕΖΩΚΟΤΙΚΗ ΚΟΙΛΟΤΗΤΑ, ΜΕ ΒΙΟΨΙΑ",Β
X645165,"ΘΩΡΑΚΟΣΚΟΠΗΣΗ, ΔΙΑΓΝΩΣΤΙΚΗ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ), ΠΕΡΙΚΑΡΔΙΑΚΗ ΚΟΙΛΟΤΗΤΑ, ΧΩΡΙΣ ΒΙΟΨΙΑ",Β
X645167,"ΘΩΡΑΚΟΣΚΟΠΗΣΗ, ΔΙΑΓΝΩΣΤΙΚΗ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ), ΠΕΡΙΚΑΡΔΙΑΚΗ ΚΟΙΛΟΤΗΤΑ, ΜΕ ΒΙΟΨΙΑ",Β
X645169,"ΘΩΡΑΚΟΣΚΟΠΗΣΗ, ΔΙΑΓΝΩΣΤΙΚΗ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ). ΜΕΣΟΘΩΡΑΚΙΟ, ΧΩΡΙΣ ΒΙΟΨΙΑ",Β
X645171,"ΘΩΡΑΚΟΣΚΟΠΗΣΗ, ΔΙΑΓΝΩΣΤΙΚΗ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ). ΜΕΣΟΘΩΡΑΚΙΟ, ΜΕ ΒΙΟΨΙΑ",Β
X645259,"ΘΩΡΑΚΟΣΚΟΠΗΣΗ, ΘΕΡΑΠΕΥΤΙΚΗ, ΓΙΑ ΠΛΕΥΡΟΔΕΣΙΑ (ΜΗΧΑΝΙΚΗ Ή ΧΗΜΙΚΗ)",Β
X645261,"ΘΩΡΑΚΟΣΚΟΠΗΣΗ, ΘΕΡΑΠΕΥΤΙΚΗ ΜΕ ΜΕΡΙΚΗ ΑΠΟΦΛΟΙΩΣΗ ΠΝΕΥΜΟΝΑ, ΠΕΡΙΛΑΜΒΑΝΕΙ ΕΝΔΟΫΠΕΖΩΚΟΤΙΚΗ ΠΝΕΥΜΟNOΛΥΣΗ",Β
X645263,"ΘΩΡΑΚΟΣΚΟΠΗΣΗ, ΘΕΡΑΠΕΥΤΙΚΗ, ΜΕ ΠΛΗΡΗ ΑΠΟΦΛΟΙΩΣΗ ΠΝΕΥΜΟΝΑ, ΠΕΡΙΛΑΜΒΑΝΕΙ ΕΝΔΟΫΠΕΖΩΚΟΤΙΚΗ ΠΝΕΥΜΟNOΛΥΣΗ",Β
X645265,"ΘΩΡΑΚΟΣΚΟΠΗΣΗ, ΘΕΡΑΠΕΥΤΙΚΗ, ΜΕ ΑΦΑΙΡΕΣΗ ΑΠΟ ΤΗΝ ΥΠΕΖΩΚΟΤΙΚΗ ΚΟΙΛΟΤΗΤΑ ΞΕΝΟΥ ΣΩΜΑΤΟΣ Ή ΠΑΡΟΧΕΤΕΥΣΗ ΕΠΙΠΛΕΓΜΕΝΗΣ ΠΑΡΑΠΝΕΥΜΟΝΙΚΗΣ ΣΥΛΛΟΓΗΣ Ή ΕΜΠΥΗΜΑΤΟΣ Ή ΘΡΟΜΒΩΝ ΑΙΜΑΤΟΣ (ΌΧΙ ΕΝΕΡΓΟΣ ΑΙΜΟΡΡΑΓΙΑ)",Β
X645267,"ΘΩΡΑΚΟΣΚΟΠΗΣΗ, ΘΕΡΑΠΕΥΤΙΚΗ, ΜΕ ΕΛΕΓΧΟ ΤΗΣ ΕΝΕΡΓΟΥ ΤΡΑΥΜΑΤΙΚΗΣ ΑΙΜΟΡΡΑΓΙΑΣ",Β
X645269,"ΘΩΡΑΚΟΣΚΟΠΗΣΗ, ΘΕΡΑΠΕΥΤΙΚΗ, ΜΕ ΕΚΤΟΜΗ Η ΠΤΥΧΩΣΗ ΑΕΡΩΔΟΥΣ ΚΥΣΤΗΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΟΠΟΙΑΣΔΗΠΟΤΕ ΥΠΕΖΩΚΟΤΙΚΗΣ ΕΠΕΜΒΑΣΗΣ",Β
X645271,"ΘΩΡΑΚΟΣΚΟΠΗΣΗ, ΘΕΡΑΠΕΥΤΙΚΗ, ΜΕ ΕΚΤΟΜΗ ΤΟΙΧΩΜΑΤΙΚΟΥ ΥΠΕΖΩΚΟΤΟΣ",Β
X645273,"ΘΩΡΑΚΟΣΚΟΠΗΣΗ, ΘΕΡΑΠΕΥΤΙΚΗ, ΜΕ ΣΦΗΝΟΕΙΔΗ ΕΚΤΟΜΗ ΤΟΥ ΠΝΕΥΜΟΝΑ, ΜΟΝΗΡΗΣ Ή ΠΟΛΛΑΠΛΗ",Β
X645275,"ΘΩΡΑΚΟΣΚΟΠΗΣΗ, ΘΕΡΑΠΕΥΤΙΚΗ. ΜΕ ΑΦΑΙΡΕΣΗ ΘΡΟΜΒΟΥ Ή ΞΕΝΟΥ ΣΩΜΑΤΟΣ ΑΠΟ ΤΗΝ ΠΕΡΙΚΑΡΔΙΑΚΗ ΚΟΙΛΟΤΗΤΑ",Β
X645277,"ΘΩΡΑΚΟΣΚΟΠΗΣΗ, ΘΕΡΑΠΕΥΤΙΚΗ ΜΕ ΔΗΜΙΟΥΡΓΙΑ ΠΕΡΙΚΑΡΔΙΑΚΟΥ ΠΑΡΑΘΥΡΟΥ Ή ΜΕΡΙΚΗ ΕΚΤΟΜΗ ΤΟΥ ΠΕΡΙΚΑΡΔΙΟΥ ΓΙΑ ΠΑΡΟΧΕΤΕΥΣΗ",Β
X645279,"ΘΩΡΑΚΟΣΚΟΠΗΣΗ, ΘΕΡΑΠΕΥΤΙΚΗ ΜΕ ΥΦΟΛΙΚΗ ΠΕΡΙΚΑΡΔΙΕΚΤΟΜΗ",Β
X645281,"ΘΩΡΑΚΟΣΚΟΠΗΣΗ, ΘΕΡΑΠΕΥΤΙΚΗ. ΜΕ ΕΚΤΟΜΗ ΠΕΡΙΚΑΡΔΙΑΚΗΣ ΚΥΣΤΗΣ",Β
X645283,"ΘΩΡΑΚΟΣΚΟΠΗΣΗ, ΘΕΡΑΠΕΥΤΙΚΗ, ΜΕ ΑΦΑΙΡΕΣΗ ΜΕΣΟΘΩΡΑΚΙΚΗΣ ΚΥΣΤΗΣ Ή ΌΓΚΟΥ",Β
X645285,"ΘΩΡΑΚΟΣΚΟΠΗΣΗ, ΘΕΡΑΠΕΥΤΙΚΗ, ΜΕ ΛΟΒΕΚΤΟΜΗ Ή ΤΥΠΙΚΗ ΤΜΗΜΑΤΕΚΤΟΜΗ",Β
X645287,"ΘΩΡΑΚΟΣΚΟΠΗΣΗ, ΘΕΡΑΠΕΥΤΙΚΗ, ΜΕ ΘΩΡΑΚΙΚΗ ΣΥΜΠΑΘΕΚΤΟΜΗ",Β
X645289,"ΘΩΡΑΚΟΣΚΟΠΗΣΗ, ΘΕΡΑΠΕΥΤΙΚΗ, ΜΕ ΟΙΣΟΦΑΓΟΜΥΟΤΟΜΗ (ΤΥΠΟΥ HELLER)",Β
X645559,"ΑΠΟΚΑΤΑΣΤΑΣΗ ΚΗΛΗΣ ΠΝΕΥΜΟΝΙΚΟΥ ΙΣΤΟΥ ΔΙΑ ΤΟΥ ΘΩΡΑΚΙΚΟΥ ΤΟΙΧΩΜΑΤΟΣ, ΜΕΤΑΤΡΑΥΜΑΤΙΚΗ Ή ΜΕΤΕΓΧΕΙΡΗΤΙΚΗ",Β
X645579,ΧΕΙΡΟΥΡΓΙΚΗ ΣΥΓΚΛΕΙΣΗ ΤΟΥ ΘΩΡΑΚΙΚΟΥ ΤΟΙΧΩΜΑΤΟΣ ΜΕΤΑ ΑΠΟ ΠΑΡΟΧΕΤΕΥΣΗ ΕΜΠΥΗΜΑΤΟΣ ΜΕΣΩ ΑΝΟΙΚΤΟΥ ΚΡΗΜΝΟΥ (ΔΙΑΔΙΚΑΣΙΑ ΤΥΠΟΥ CLAGETT),Β
X645589,"ΧΕΙΡΟΥΡΓΙΚΗ ΣΥΓΚΛΕΙΣΗ ΣΥΡΙΓΓΙΟΥ ΤΟΥ ΚΥΡΙΟΥ ΒΡΟΓΧΟΥ, ΠΡΟΣΠΕΛΑΣΗ ΜΕ ΘΩΡΑΚΟΤΟΜΗ, ΜΕ Ή ΧΩΡΙΣ ΜΥΟΠΛΑΣΤΙΚΗ Ή ΕΠΙΠΛΟΟΠΛΑΣΤΙΚΗ",Β
X645599,"ΜΕΙΖΩΝ ΑΠΟΚΑΤΑΣΤΑΣΗ ΘΩΡΑΚΙΚΟΥ ΤΟΙΧΩΜΑΤΟΣ (ΜΕΤΑΤΡΑΥΜΑΤΙΚΗ), ΧΡΗΣΗ ΣΥΝΘΕΤΙΚΟΥ ΠΛΕΓΜΑΤΟΣ",Β
X645659,"ΕΚΤΟΜΗ ΠΝΕΥΜΟΝΑ ΔΟΤΗ (ΣΥΜΠΕΡΙΛΑΒΑΝΟΜΕΝΗΣ ΣΥΝΤΗΡΗΣΗΣ), ΑΠΟ ΠΤΩΜΑΤΙΚΟ ΔΟΤΗ",Β
X645661,"ΜΕΤΑΜΟΣΧΕΥΣΗ ΕΝΟΣ ΠΝΕΥΜΟΝΑ, ΧΩΡΙΣ ΕΞΩΣΩΜΑΤΙΚΗ ΚΥΚΛΟΦΟΡΙΑ",Β
X645663,"ΜΕΤΑΜΟΣΧΕΥΣΗ ΕΝΟΣ ΠΝΕΥΜΟΝΑ,ΜΕ ΕΞΩΣΩΜΑΤΙΚΗ ΚΥΚΛΟΦΟΡΙΑ",Β
X645665,"ΜΕΤΑΜΟΣΧΕΥΣΗ ΠΝΕΥΜΟΝΑ, ΔΙΠΛΗ (ΑΜΦΙΠΛΕΥΡΗ ΔΙΑΔΟΧΙΚΗ Ή ΣΥΝΟΛΙΚΗ (EN BLOCK). ΧΩΡΙΣ ΕΞΩΣΩΜΑΤΙΚΗ ΚΥΚΛΟΦΟΡΙΑ",Β
X645667,"ΜΕΤΑΜΟΣΧΕΥΣΗ ΠΝΕΥΜΟΝΑ, ΔΙΠΛΗ (ΑΜΦΙΠΛΕΥΡΗ ΔΙΑΔΟΧΙΚΗ Ή ΣΥΝΟΛΙΚΗ (EN BLOCK). ΜΕ ΕΞΩΣΩΜΑΤΙΚΗ ΚΥΚΛΟΦΟΡΙΑ",Β
X645669,"ΤΥΠΙΚΗ ΠΡΟΕΤΟΙΜΑΣΙΑ ΑΛΛΟΜΟΣΧΕΥΜΑΤΟΣ ΠΝΕΥΜΟΝΑ ΑΠΟ ΠΤΩΜΑΤΙΚΟ ΔΟΤΗ ΠΡΙΝ ΑΠΟ ΤΗ ΜΕΤΑΜΟΣΧΕΥΣΗ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΑΝΑΤΟΜΗΣ ΤΟΥ ΑΛΛΟΜΟΣΧΕΥΜΑΤΟΣ ΑΠΟ ΤΟΥΣ ΠΕΡΙΒΑΛΛΟΝΤΕΣ ΜΑΛΑΚΟΥΣ ΙΣΤΟΥΣ ΩΣΤΕ ΝΑ ΠΡΟΕΤΟΙΜΑΣΤΕΙ ΤΟ ΠΝΕΥΜΟΝΙΚΟ ΦΛΕΒΙΚΟ/ΚΟΛΠΙΚΟ ΚΟΛΑΡΟ, Η ΠΝΕΥΜΟΝΙΚΗ ΑΡΤΗΡΙΑ, ΚΑΙ Ο ΒΡΟΓΧΟΣ, ΕΤΕΡΟΠΛΕΥΡΗ",Β
X645671,"ΤΥΠΙΚΗ ΠΡΟΕΤΟΙΜΑΣΙΑ ΑΛΛΟΜΟΣΧΕΥΜΑΤΟΣ ΠΝΕΥΜΟΝΑ ΑΠΟ ΠΤΩΜΑΤΙΚΟ ΔΟΤΗ ΠΡΙΝ ΑΠΟ ΤΗ ΜΕΤΑΜΟΣΧΕΥΣΗ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΑΝΑΤΟΜΗΣ ΤΟΥ ΑΛΛΟΜΟΣΧΕΥΜΑΤΟΣ ΑΠΟ ΤΟΥΣ ΠΕΡΙΒΑΛΛΟΝΤΕΣ ΜΑΛΑΚΟΥΣ ΙΣΤΟΥΣ ΩΣΤΕ ΝΑ ΠΡΟΕΤΟΙΜΑΣΤΕΙ ΤΟ ΠΝΕΥΜΟΝΙΚΟ ΦΛΕΒΙΚΟ/ΚΟΛΠΙΚΟ ΚΟΛΑΡΟ, Η ΠΝΕΥΜΟΝΙΚΗ ΑΡΤΗΡΙΑ, ΚΑΙ Ο ΒΡΟΓΧΟΣ, ΑΜΦΙΠΛΕΥΡΗ",Β
X645759,"ΕΚΤΟΜΗ ΤΩΝ ΠΛΕΥΡΩΝ, ΕΞΩΥΠΕΖΩΚΟΤΙΚΗ, ΟΛΑ ΤΑ ΣΤΑΔΙΑ",Β
X645769,"ΘΩΡΑΚΟΠΛΑΣΤΙΚΗ, ΤΥΠΟΥ SCHEDE Ή ΕΞΩΥΠΕΖΩΚΟΤΙΚΗ (ΟΛΑ ΤΑ ΣΤΑΔΙΑ).",Β
X645771,"ΘΩΡΑΚΟΠΛΑΣΤΙΚΗ, ΤΥΠΟΥ SCHEDE Ή ΕΞΩΥΠΕΖΩΚΟΤΙΚΗ (ΟΛΑ ΤΑ ΣΤΑΔΙΑ). ΜΕ ΣΥΓΚΛΕΙΣΗ ΒΡΟΓΧΟΫΠΕΖΩΚΟΤΙΚΟΥ ΣΥΡΙΓΓΙΟΥ",Β
X645839,"ΠΝΕΥΜΟΝΟΛΥΣΗ, ΕΞΩΠΕΡΙΟΣΤΙΚΗ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΩΝ ΔΙΑΔΙΚΑΣΙΩΝ ΠΛΗΡΩΣΗΣ Ή ΕΠΙΔΕΣΗΣ",Β
X645879,"ΠΝΕΥΜΟΘΩΡΑΚΑΣ ΘΕΡΑΠΕΥΤΙΚΟΣ, ΕΝΔΟΫΠΕΖΩΚΟΤΙΚΗ ΕΝΕΣΗ ΑΕΡΑ",Β
X645953,ΘΕΡΑΠΕΥΤΙΚΗ ΕΚΠΛΥΣΗ (LAVAGE) ΠΝΕΥΜΟΝΑ (ΕΤΕΡΟΠΛΕΥΡΗ),Β
X645955,"ΑΦΑΙΡΕΣΗ ΜΕ ΥΨΙΣΥΧΝΟ ΡΕΥΜΑ ΓΙΑ ΜΕΙΩΣΗ Ή ΕΚΡΙΖΩΣΗ ΕΝΟΣ Ή ΠΕΡΙΣΣΟΤΕΡΩΝ ΟΓΚΟΥ(ΩΝ) ΣΤΟΝ ΠΝΕΥΜΟΝΑ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΟΥ ΤΟΥ ΥΠΕΖΩΚΟΤΑ Ή ΤΟΥ ΘΩΡΑΚΙΚΟΥ ΤΟΙΧΩΜΑΤΟΣ, ΟΤΑΝ ΔΙΗΘΟΥΝΤΑΙ ΚΑΤΑ ΤΗΝ ΕΠΕΚΤΑΣΗ ΤΟΥ ΟΓΚΟΥ, ΔΙΑΔΕΡΜΙΚΗ, ΡΑΔΙΟΣΥΧΝΟΤΗΤΑ, ΕΤΕΡΟΠΛΕΥΡΗ",Β
X645957,"ΜΗ ΚΑΤΑΓΕΓΡΑΜΜΕΝΗ ΔΙΑΔΙΚΑΣΙΑ, ΠΝΕΥΜΟΝΕΣ ΚΑΙ ΥΠΕΖΩΚΟΣ",Β
X645957.1,"ΕΚΤΟΜΗ ΠΝΕΥΜΟΝΙΚΟΥ ΠΑΡΕΓΧΥΜΑΤΟΣ, ΠΝΕΥΜΟΝΕΚΤΟΜΗ, ΜΕ ΕΝΔΟΠΕΡΙΚΑΡΔΙΑΚΗ ΑΠΟΛΙΝΩΣΗ ΤΩΝ ΑΓΓΕΙΩΝ, ΧΩΡΙΣ ΑΠΟΚΑΤΑΣΤΑΣΗ ΤΟΥ ΠΕΡΙΚΑΡΔΙΑΚΟΥ ΕΛΛΕΙΜΜΑΤΟΣ",Β
